# log_radius_center           P/P_500    P/P_500_errlow   P/P_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00               nan               nan               nan
      -1.312500e+00               nan               nan               nan
      -1.187500e+00               nan               nan               nan
      -1.062500e+00      1.324059e+00      1.676054e-01      1.045988e+01
      -9.375000e-01      1.114449e+00      2.073271e-01      5.990517e+00
      -8.125000e-01      6.660980e-01      1.485038e-01      2.987712e+00
      -6.875000e-01      5.462057e-01      1.269247e-01      2.350533e+00
      -5.625000e-01      4.777615e-01      1.271052e-01      1.795803e+00
      -4.375000e-01      3.886035e-01      1.202643e-01      1.255674e+00
      -3.125000e-01      2.797802e-01      9.835300e-02      7.958778e-01
      -1.875000e-01      1.809542e-01      6.458675e-02      5.069836e-01
      -6.250000e-02      1.079114e-01      3.920381e-02      2.970341e-01
       6.250000e-02      6.515258e-02      2.147554e-02      1.976602e-01
       1.875000e-01      3.927904e-02      1.127779e-02      1.368037e-01
       3.125000e-01      2.344590e-02      6.041675e-03      9.098637e-02
       4.375000e-01      1.452854e-02      3.156797e-03      6.686479e-02
